Company,SIC,IndustryClassification,Industry,FiscalYearEnd,FiscalYear,Date,Assets,StockholdersEquity,Revenue,NetIncome,ProfitMargin
"THOUGHTWORKS HOLDING, INC.",7371,Business Services,Services,1231,2023,12/31/2023,1327236000,773130000,1126816000,-68661000,-0.0609
DUTCH BROS INC.,5810,Eating & Drinking Places,Retail Trade,1231,2023,12/31/2023,1764010000,364345000,965776000,1718000,0.0018
"CONSENSUS CLOUD SOLUTIONS, INC.",7372,Business Services,Services,1231,2023,12/31/2023,647255000,-176122000,362562000,77295000,0.2132
"AMPLITUDE, INC.",7372,Business Services,Services,1231,2023,12/31/2023,433684000,294753000,276284000,-90363000,-0.3271
CONSTELLATION ENERGY CORP,4911,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2023,12/31/2023,50758000000,10925000000,24918000000,1623000000,0.0651
"OLAPLEX HOLDINGS, INC.",2844,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,1740338000,844968000,458300000,61587000,0.1344
INFORMATICA INC.,7372,Business Services,Services,1231,2023,12/31/2023,5202082000,2212598000,1595160000,-125283000,-0.0785
"ENFUSION, INC.",7372,Business Services,Services,1231,2023,12/31/2023,108972000,53666000,174535000,6025000,0.0345
"LIFE TIME GROUP HOLDINGS, INC.",7997,Amusement & Recreation Services,Services,1231,2023,12/31/2023,7032141000,2254112000,2216593000,76063000,0.0343
"SOLO BRANDS, INC.",3949,Miscellaneous Manufacturing Industries,Manufacturing,1231,2023,12/31/2023,659318000,241262000,494776000,-111347000,-0.2250
PORTILLO'S INC.,5812,Eating & Drinking Places,Retail Trade,1231,2023,12/31/2023,1385541000,322379000,679905000,18424000,0.0271
"RIVIAN AUTOMOTIVE, INC. / DE",3711,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,16778000000,9141000000,4434000000,-5432000000,-1.2251
"VACASA, INC.",7340,Business Services,Services,1231,2023,12/31/2023,663548000,131053000,1117950000,-528232000,-0.4725
"ARHAUS, INC.",5712,Furniture & Homefurnishings Stores,Retail Trade,1231,2023,12/31/2023,1114094000,340238000,1287704000,125239000,0.0973
DOUGLAS ELLIMAN INC.,6531,Real Estate,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,493419000,233231000,955578000,-42552000,-0.0445
"PERIMETER SOLUTIONS, SA",2800,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,2315422000,1152295000,322108000,67486000,0.2095
"LUMEN TECHNOLOGIES, INC.",4813,Communications,Transportation & Public Utilities,1231,2023,12/31/2023,34018000000,417000000,14557000000,-10298000000,-0.7074
"LUMEN TECHNOLOGIES, INC.",4813,Communications,Transportation & Public Utilities,1231,2022,12/31/2022,45581000000,10437000000,17478000000,-1548000000,-0.0886
"LUMEN TECHNOLOGIES, INC.",4813,Communications,Transportation & Public Utilities,1231,2021,12/31/2021,57993000000,11840000000,19687000000,2033000000,0.1033
"LUMEN TECHNOLOGIES, INC.",4813,Communications,Transportation & Public Utilities,1231,2020,12/31/2020,59394000000,11162000000,20712000000,-1232000000,-0.0595
NOBLE CORP PLC,1381,Oil & Gas Extraction,Mining,1231,2023,12/31/2023,5507437000,3921240000,2589018000,481902000,0.1861
"ASPEN TECHNOLOGY, INC.",7371,Business Services,Services,630,2024,6/30/2024,14071707000,12812855000,1127482000,-9771000,-0.0087
FTAI INFRASTRUCTURE INC.,4011,Railroad Transportation,Transportation & Public Utilities,1231,2023,12/31/2023,2379609000,484289000,320472000,-183736000,-0.5733
"NCINO, INC.",7372,Business Services,Services,131,2023,1/31/2024,1340430000,1049176000,476543000,-42346000,-0.0889
"NCINO, INC.",7372,Business Services,Services,131,2022,1/31/2023,1327269000,1024078000,408315000,-102720000,-0.2516
QUIDELORTHO CORP,2835,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,8563100000,5005900000,2997800000,-10100000,-0.0034
R1 RCM INC. /DE,8741,Engineering & Management Services,Services,1231,2023,12/31/2023,4960200000,2751400000,2254200000,3300000,0.0015
HF SINCLAIR CORP,4610,"Pipelines, Except Natural Gas",Transportation & Public Utilities,1231,2023,12/31/2023,17716265000,10169090000,31964395000,1589666000,0.0497
CHEMED CORP,8082,Health Services,Services,1231,2023,12/31/2023,1668095000,1107876000,2264417000,272509000,0.1203
CHEMED CORP,8082,Health Services,Services,1231,2022,12/31/2022,1442012000,798715000,2134963000,249624000,0.1169
CHEMED CORP,8082,Health Services,Services,1231,2021,12/31/2021,1342723000,623273000,2139261000,268550000,0.1255
CHEMED CORP,8082,Health Services,Services,1231,2020,12/31/2020,1434911000,901200000,2079583000,319466000,0.1536
JPMORGAN CHASE & CO,6021,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,3.87539E+12,3.27878E+11,1.58E+11,49552000000,0.3134
JPMORGAN CHASE & CO,6021,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,3.66574E+12,2.92332E+11,1.29E+11,37676000000,0.2928
JPMORGAN CHASE & CO,6021,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,3.74357E+12,2.94127E+11,1.22E+11,48334000000,0.3973
JPMORGAN CHASE & CO,6021,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,3.38607E+12,2.79354E+11,1.20E+11,29131000000,0.2437
CHESAPEAKE UTILITIES CORP,4923,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2023,12/31/2023,3304704000,1246104000,670604000,87212000,0.1300
CHESAPEAKE UTILITIES CORP,4923,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2022,12/31/2022,2215037000,832801000,680704000,89796000,0.1319
CHESAPEAKE UTILITIES CORP,4923,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2021,12/31/2021,2114869000,774130000,569968000,83466000,0.1464
CHESAPEAKE UTILITIES CORP,4923,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2020,12/31/2020,1932487000,697085000,488198000,71498000,0.1465
"L3HARRIS TECHNOLOGIES, INC. /DE/",3812,Instruments & Related Products,Manufacturing,1231,2023,12/31/2023,41687000000,18765000000,19419000000,1227000000,0.0632
"L3HARRIS TECHNOLOGIES, INC. /DE/",3812,Instruments & Related Products,Manufacturing,1231,2022,12/31/2022,33524000000,18523000000,17062000000,1062000000,0.0622
"L3HARRIS TECHNOLOGIES, INC. /DE/",3812,Instruments & Related Products,Manufacturing,1231,2021,12/31/2021,34709000000,19213000000,17814000000,1846000000,0.1036
CHURCHILL DOWNS INC,7948,Amusement & Recreation Services,Services,1231,2023,12/31/2023,6955500000,893600000,2461700000,417300000,0.1695
CHURCHILL DOWNS INC,7948,Amusement & Recreation Services,Services,1231,2020,12/31/2020,2686400000,367100000,1054000000,-81900000,-0.0777
CINCINNATI FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,32769000000,12098000000,10013000000,1843000000,0.1841
CINCINNATI FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,29736000000,10531000000,6557000000,-486000000,-0.0741
CINCINNATI FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,31387000000,13105000000,9630000000,2946000000,0.3059
CINCINNATI FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,27542000000,10789000000,7536000000,1216000000,0.1614
"FRONTIER COMMUNICATIONS PARENT, INC.",4813,Communications,Transportation & Public Utilities,1231,2023,12/31/2023,20693000000,5279000000,5751000000,29000000,0.0050
"FRONTIER COMMUNICATIONS PARENT, INC.",4813,Communications,Transportation & Public Utilities,1231,2022,12/31/2022,18624000000,5134000000,5787000000,441000000,0.0762
ACME UNITED CORP,3420,Fabricated Metal Products,Manufacturing,1231,2023,12/31/2023,149241316,97898684,191500947,17793160,0.0929
ACME UNITED CORP,3420,Fabricated Metal Products,Manufacturing,1231,2022,12/31/2022,164377104,79030132,193962357,3034766,0.0156
ACME UNITED CORP,3420,Fabricated Metal Products,Manufacturing,1231,2021,12/31/2021,144438684,77081961,182087559,13655679,0.0750
ACME UNITED CORP,3420,Fabricated Metal Products,Manufacturing,1231,2020,12/31/2020,129867736,62716443,164003040,8098766,0.0494
CLOROX CO /DE/,2842,Chemical & Allied Products,Manufacturing,630,2024,6/30/2024,5751000000,328000000,7093000000,280000000,0.0395
CLOROX CO /DE/,2842,Chemical & Allied Products,Manufacturing,630,2023,6/30/2023,5945000000,220000000,7389000000,149000000,0.0202
CLOROX CO /DE/,2842,Chemical & Allied Products,Manufacturing,630,2022,6/30/2022,6158000000,556000000,7107000000,462000000,0.0650
CLOROX CO /DE/,2842,Chemical & Allied Products,Manufacturing,630,2021,6/30/2021,6334000000,411000000,7341000000,710000000,0.0967
CNA FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,64711000000,9893000000,13299000000,1205000000,0.0906
CNA FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,60927000000,8825000000,11879000000,894000000,0.0753
CNA FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,66639000000,12809000000,11908000000,1202000000,0.1009
CNA FINANCIAL CORP,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,64026000000,12707000000,10808000000,690000000,0.0638
COCA COLA CO,2080,Food & Kindred Products,Manufacturing,1231,2023,12/31/2023,97703000000,25941000000,45754000000,10714000000,0.2342
COCA COLA CO,2080,Food & Kindred Products,Manufacturing,1231,2022,12/31/2022,92763000000,24105000000,43004000000,9542000000,0.2219
COCA COLA CO,2080,Food & Kindred Products,Manufacturing,1231,2021,12/31/2021,94354000000,22999000000,38655000000,9771000000,0.2528
COCA COLA CO,2080,Food & Kindred Products,Manufacturing,1231,2020,12/31/2020,87296000000,19299000000,33014000000,7747000000,0.2347
COHERENT INC,3826,Instruments & Related Products,Manufacturing,930,2021,9/30/2021,1888930000,868185000,1487468000,-106751000,-0.0718
"COEUR MINING, INC.",1040,"Metal, Mining",Mining,1231,2023,12/31/2023,2080848000,1023903000,821206000,-103612000,-0.1262
"COEUR MINING, INC.",1040,"Metal, Mining",Mining,1231,2022,12/31/2022,1846143000,889016000,785636000,-78107000,-0.0994
"COEUR MINING, INC.",1040,"Metal, Mining",Mining,1231,2021,12/31/2021,1734422000,800262000,832828000,-31322000,-0.0376
"COEUR MINING, INC.",1040,"Metal, Mining",Mining,1231,2020,12/31/2020,1403977000,693479000,785461000,25627000,0.0326
HAVERTY FURNITURE COMPANIES INC,5712,Furniture & Homefurnishings Stores,Retail Trade,1231,2023,12/31/2023,654133000,308366000,862133000,56319000,0.0653
HAVERTY FURNITURE COMPANIES INC,5712,Furniture & Homefurnishings Stores,Retail Trade,1231,2022,12/31/2022,649049000,289399000,1047215000,89358000,0.0853
HAVERTY FURNITURE COMPANIES INC,5712,Furniture & Homefurnishings Stores,Retail Trade,1231,2021,12/31/2021,686290000,255970000,1012799000,90803000,0.0897
HAVERTY FURNITURE COMPANIES INC,5712,Furniture & Homefurnishings Stores,Retail Trade,1231,2020,12/31/2020,680372000,252967000,748252000,59148000,0.0790
ITT INC.,3561,Industrial Machinery & Equipment,Manufacturing,1231,2023,12/31/2023,3932600000,2528200000,3283000000,410500000,0.1250
ITT INC.,3561,Industrial Machinery & Equipment,Manufacturing,1231,2022,12/31/2022,3780300000,2248100000,2987700000,367000000,0.1228
ITT INC.,3561,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,3565400000,2225800000,2765000000,316300000,0.1144
ITT INC.,3561,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,4277600000,2126400000,2477800000,72500000,0.0293
COLGATE PALMOLIVE CO,2844,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,16393000000,609000000,19457000000,2300000000,0.1182
COLGATE PALMOLIVE CO,2844,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,15731000000,401000000,17967000000,1785000000,0.0993
COLGATE PALMOLIVE CO,2844,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,15040000000,609000000,17421000000,2166000000,0.1243
COLGATE PALMOLIVE CO,2844,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,15920000000,743000000,16471000000,2695000000,0.1636
TEXTRON INC,3720,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,16856000000,6987000000,13683000000,921000000,0.0673
TEXTRON INC,3720,Transportation Equipment,Manufacturing,1231,2022,12/31/2022,16293000000,7113000000,12869000000,861000000,0.0669
TEXTRON INC,3720,Transportation Equipment,Manufacturing,1231,2021,12/31/2021,15827000000,6815000000,12382000000,746000000,0.0602
TEXTRON INC,3720,Transportation Equipment,Manufacturing,1231,2020,12/31/2020,15443000000,5845000000,11651000000,309000000,0.0265
"ADAMS RESOURCES & ENERGY, INC.",5172,Wholesale Trade – Nondurable Goods,Wholesale Trade,1231,2023,12/31/2023,361334000,92716000,2745293000,212000,0.0001
"ADAMS RESOURCES & ENERGY, INC.",5172,Wholesale Trade – Nondurable Goods,Wholesale Trade,1231,2022,12/31/2022,384159000,93177000,3366917000,3487000,0.0010
SELECTIVE INSURANCE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,11802546000,2954381000,4232106000,365238000,0.0863
SELECTIVE INSURANCE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,10802261000,2527564000,3558062000,224886000,0.0632
SELECTIVE INSURANCE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,10461389000,2982885000,3379164000,403837000,0.1195
SELECTIVE INSURANCE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,9687913000,2738889000,2922274000,246355000,0.0843
COMPUTER TASK GROUP INC,7371,Business Services,Services,1231,2022,12/31/2022,181619000,105979000,325080000,6609000,0.0203
COMPUTER TASK GROUP INC,7371,Business Services,Services,1231,2021,12/31/2021,188334000,94437000,392285000,13730000,0.0350
COMPUTER TASK GROUP INC,7371,Business Services,Services,1231,2020,12/31/2020,176253000,79508000,366091000,7639000,0.0209
COMSTOCK RESOURCES INC,1311,Oil & Gas Extraction,Mining,1231,2023,12/31/2023,6253623000,2358414000,1565109000,211117000,0.1349
COMSTOCK RESOURCES INC,1311,Oil & Gas Extraction,Mining,1231,2022,12/31/2022,5694255000,2278314000,3628057000,1140882000,0.3145
COMSTOCK RESOURCES INC,1311,Oil & Gas Extraction,Mining,1231,2021,12/31/2021,4668229000,1012779000,1850730000,-241725000,-0.1306
COMSTOCK RESOURCES INC,1311,Oil & Gas Extraction,Mining,1231,2020,12/31/2020,4623983000,1266773000,858195000,-52417000,-0.0611
COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Electronic & Other Electric Equipment,Manufacturing,731,2023,7/31/2023,996237000,438299000,549994000,-26899000,-0.0489
COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Electronic & Other Electric Equipment,Manufacturing,731,2022,7/31/2022,974297000,466585000,486239000,-33052000,-0.0680
COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Electronic & Other Electric Equipment,Manufacturing,731,2021,7/31/2021,993111000,500719000,581695000,-73480000,-0.1263
CONAGRA BRANDS INC.,2000,Food & Kindred Products,Manufacturing,531,2024,5/31/2024,20862300000,8440400000,12050900000,347200000,0.0288
CONAGRA BRANDS INC.,2000,Food & Kindred Products,Manufacturing,531,2023,5/31/2023,22052600000,8736800000,12277000000,683600000,0.0557
CONAGRA BRANDS INC.,2000,Food & Kindred Products,Manufacturing,531,2022,5/31/2022,22435100000,8787700000,11535900000,888200000,0.0770
CONAGRA BRANDS INC.,2000,Food & Kindred Products,Manufacturing,531,2021,5/31/2021,22195600000,8551800000,11184700000,1298800000,0.1161
"CTO REALTY GROWTH, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,989668000,457526000,109119000,5530000,0.0507
"CTO REALTY GROWTH, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,986545000,504770000,82320000,3158000,0.0384
"CTO REALTY GROWTH, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,733139000,430480000,70272000,29940000,0.4261
"CTO REALTY GROWTH, INC.",6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,665931000,350899000,56381000,78509000,1.3925
"CITIZENS, INC.",6311,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,1668928000,172129000,240680000,24437000,0.1015
"CITIZENS, INC.",6311,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,1569970000,1043000,232524000,-6638000,-0.0285
"CITIZENS, INC.",6311,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,1854511000,320571000,250546000,36787000,0.1468
"CITIZENS, INC.",6311,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,1843420000,300945000,238856000,-10988000,-0.0460
COOPER TIRE & RUBBER CO,3011,Rubber & Miscellaneous Plastics Products,Manufacturing,1231,2020,12/31/2020,2971573000,1388899000,2521074000,142789000,0.0566
MOLSON COORS BEVERAGE CO,2082,Food & Kindred Products,Manufacturing,1231,2023,12/31/2023,26375100000,13196000000,13884600000,948900000,0.0683
MOLSON COORS BEVERAGE CO,2082,Food & Kindred Products,Manufacturing,1231,2022,12/31/2022,25868300000,12689700000,12807500000,-175300000,-0.0137
MOLSON COORS BEVERAGE CO,2082,Food & Kindred Products,Manufacturing,1231,2021,12/31/2021,27619000000,13417100000,12449900000,1005700000,0.0808
MOLSON COORS BEVERAGE CO,2082,Food & Kindred Products,Manufacturing,1231,2020,12/31/2020,27331100000,12365000000,11723800000,-949000000,-0.0809
CORNING INC /NY,3357,Primary Metal Industries,Manufacturing,1231,2023,12/31/2023,28500000000,11551000000,12588000000,581000000,0.0462
CORNING INC /NY,3357,Primary Metal Industries,Manufacturing,1231,2022,12/31/2022,29499000000,12008000000,14189000000,1316000000,0.0927
CORNING INC /NY,3357,Primary Metal Industries,Manufacturing,1231,2021,12/31/2021,30154000000,12333000000,14082000000,1906000000,0.1354
CORNING INC /NY,3357,Primary Metal Industries,Manufacturing,1231,2020,12/31/2020,30775000000,13257000000,11303000000,512000000,0.0453
ADVANCED MICRO DEVICES INC,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,67885000000,55892000000,22680000000,854000000,0.0377
ADVANCED MICRO DEVICES INC,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,67580000000,54750000000,23601000000,1320000000,0.0559
ADVANCED MICRO DEVICES INC,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,12419000000,7497000000,16434000000,3162000000,0.1924
ADVANCED MICRO DEVICES INC,3674,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,8962000000,5837000000,9763000000,2490000000,0.2550
COUSINS PROPERTIES INC,6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,7634474000,4524151000,802874000,82963000,0.1033
COUSINS PROPERTIES INC,6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,7537016000,4625664000,762290000,166793000,0.2188
COUSINS PROPERTIES INC,6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,7312034000,4566770000,755073000,278586000,0.3690
COUSINS PROPERTIES INC,6798,Holding & Other Investment Offices,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,7107398000,4467134000,740340000,237278000,0.3205
"CRANE NXT, CO.",3490,Fabricated Metal Products,Manufacturing,1231,2023,12/31/2023,2129400000,964000000,1391300000,188300000,0.1353
"CRANE HOLDINGS, CO.",3490,Fabricated Metal Products,Manufacturing,1231,2022,12/31/2022,4390200000,1901400000,3374900000,401100000,0.1188
CRANE CO /DE/,3490,Fabricated Metal Products,Manufacturing,1231,2021,12/31/2021,4486600000,1832300000,3180000000,435400000,0.1369
CRANE CO /DE/,3490,Fabricated Metal Products,Manufacturing,1231,2020,12/31/2020,4588900000,1528900000,2936900000,181000000,0.0616
CRAWFORD & CO,6411,"Insurance Agents, Brokers, & Service","Finance, Insurance, & Real Estate",1231,2023,12/31/2023,799199000,141618000,1316919000,30609000,0.0232
CRAWFORD & CO,6411,"Insurance Agents, Brokers, & Service","Finance, Insurance, & Real Estate",1231,2022,12/31/2022,791507000,124543000,1231226000,-18305000,-0.0149
CRAWFORD & CO,6411,"Insurance Agents, Brokers, & Service","Finance, Insurance, & Real Estate",1231,2021,12/31/2021,852639000,211965000,1139231000,30692000,0.0269
CRAWFORD & CO,6411,"Insurance Agents, Brokers, & Service","Finance, Insurance, & Real Estate",1231,2020,12/31/2020,752984000,186939000,1016195000,28296000,0.0278
CTS CORP,3672,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,741167000,526822000,550422000,60532000,0.1100
CTS CORP,3672,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,748487000,506224000,586869000,59575000,0.1015
CTS CORP,3672,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,664462000,463578000,512925000,-41866000,-0.0816
CTS CORP,3672,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,626049000,423682000,424066000,34686000,0.0818
CUMMINS INC,3510,Industrial Machinery & Equipment,Manufacturing,1231,2023,12/31/2023,32005000000,8850000000,34065000000,735000000,0.0216
CUMMINS INC,3510,Industrial Machinery & Equipment,Manufacturing,1231,2022,12/31/2022,30299000000,8975000000,28074000000,2151000000,0.0766
CUMMINS INC,3510,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,23710000000,8474000000,24021000000,2131000000,0.0887
CUMMINS INC,3510,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,22624000000,8062000000,19811000000,1789000000,0.0903
CURTISS WRIGHT CORP,3590,Industrial Machinery & Equipment,Manufacturing,1231,2023,12/31/2023,4620969000,2328413000,2845373000,354509000,0.1246
CURTISS WRIGHT CORP,3590,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,4021334000,1787574000,2391336000,201392000,0.0842
DANA INC,3714,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,7965000000,1575000000,10555000000,38000000,0.0036
DANA INC,3714,Transportation Equipment,Manufacturing,1231,2022,12/31/2022,7449000000,1551000000,10156000000,-242000000,-0.0238
DANA INC,3714,Transportation Equipment,Manufacturing,1231,2021,12/31/2021,7632000000,1922000000,8945000000,197000000,0.0220
DANA INC,3714,Transportation Equipment,Manufacturing,1231,2020,12/31/2020,7376000000,1758000000,7106000000,-31000000,-0.0044
TARGET CORP,5331,General Merchandise Stores,Retail Trade,131,2023,1/31/2024,55356000000,13432000000,1.07E+11,4138000000,0.0385
TARGET CORP,5331,General Merchandise Stores,Retail Trade,131,2022,1/31/2023,53335000000,11232000000,1.09E+11,2780000000,0.0255
TARGET CORP,5331,General Merchandise Stores,Retail Trade,131,2021,1/31/2022,53811000000,12827000000,1.06E+11,6946000000,0.0655
TARGET CORP,5331,General Merchandise Stores,Retail Trade,131,2020,1/31/2021,51248000000,14440000000,93561000000,4368000000,0.0467
PARSONS CORP,7373,Business Services,Services,1231,2023,12/31/2023,4804061000,2287211000,5442749000,161149000,0.0296
PARSONS CORP,7373,Business Services,Services,1231,2022,12/31/2022,4198142000,2043570000,4195272000,96664000,0.0230
PARSONS CORP,7373,Business Services,Services,1231,2021,12/31/2021,3830940000,1900768000,3660771000,64072000,0.0175
"W.W. GRAINGER, INC.",5000,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2023,12/31/2023,8147000000,3115000000,16478000000,1829000000,0.1110
"W.W. GRAINGER, INC.",5000,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2022,12/31/2022,7588000000,2440000000,15228000000,1547000000,0.1016
"W.W. GRAINGER, INC.",5000,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2021,12/31/2021,6592000000,1874000000,13022000000,1043000000,0.0801
"W.W. GRAINGER, INC.",5000,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2020,12/31/2020,6295000000,1828000000,11797000000,695000000,0.0589
FEDERAL SIGNAL CORP /DE/,3711,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,1620500000,1001900000,1722700000,157400000,0.0914
FEDERAL SIGNAL CORP /DE/,3711,Transportation Equipment,Manufacturing,1231,2022,12/31/2022,1524300000,860900000,1434800000,120400000,0.0839
FEDERAL SIGNAL CORP /DE/,3711,Transportation Equipment,Manufacturing,1231,2021,12/31/2021,1366100000,784000000,1213200000,100600000,0.0829
FEDERAL SIGNAL CORP /DE/,3711,Transportation Equipment,Manufacturing,1231,2020,12/31/2020,1208800000,702100000,1130800000,96200000,0.0851
DAVEY TREE EXPERT CO,700,Agricultural Services,"Agriculture, Forestry, & Fishing",1231,2021,12/31/2021,772941000,103840000,1378053000,65699000,0.0477
DAVEY TREE EXPERT CO,700,Agricultural Services,"Agriculture, Forestry, & Fishing",1231,2020,12/31/2020,655354000,79674000,1287552000,60937000,0.0473
CAVCO INDUSTRIES INC.,2451,Lumber & Wood Products,Manufacturing,331,2023,3/31/2024,1354160000,1033411000,1794792000,157817000,0.0879
CAVCO INDUSTRIES INC.,2451,Lumber & Wood Products,Manufacturing,331,2022,3/31/2023,1307975000,976286000,2142713000,240554000,0.1123
CAVCO INDUSTRIES INC.,2451,Lumber & Wood Products,Manufacturing,331,2021,3/31/2022,1154972000,830455000,1627158000,197699000,0.1215
CAVCO INDUSTRIES INC.,2451,Lumber & Wood Products,Manufacturing,331,2020,3/31/2021,951833000,683640000,1108051000,76646000,0.0692
"DELTA AIR LINES, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2023,12/31/2023,73644000000,11105000000,58048000000,4609000000,0.0794
"DELTA AIR LINES, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2022,12/31/2022,72288000000,6582000000,50582000000,1318000000,0.0261
"DELTA AIR LINES, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2021,12/31/2021,72459000000,3887000000,29899000000,280000000,0.0094
"DELTA AIR LINES, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2020,12/31/2020,71996000000,1534000000,17095000000,-12385000000,-0.7245
"DIEBOLD NIXDORF, INC",3578,Industrial Machinery & Equipment,Manufacturing,1231,2022,12/31/2022,3065000000,-1380900000,3460700000,-581400000,-0.1680
"DIEBOLD NIXDORF, INC",3578,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,3507200000,-845100000,3905200000,-78800000,-0.0202
"DIEBOLD NIXDORF, INC",3578,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,3657400000,-827100000,3902300000,-269100000,-0.0690
"DILLARD'S, INC.",5311,General Merchandise Stores,Retail Trade,131,2023,1/31/2024,3448906000,1697068000,6874420000,738847000,0.1075
"DILLARD'S, INC.",5311,General Merchandise Stores,Retail Trade,131,2022,1/31/2023,3329150000,1598638000,6996215000,891637000,0.1274
"DILLARD'S, INC.",5311,General Merchandise Stores,Retail Trade,131,2021,1/31/2022,3245557000,1451218000,6624267000,862473000,0.1302
"DILLARD'S, INC.",5311,General Merchandise Stores,Retail Trade,131,2020,1/31/2021,3092515000,1441008000,4433185000,-71654000,-0.0162
